    Sample HippocampalFormation       Isocortex        Thalamus    Hypothalamus        Midbrain      Brain stem
   Brain11                 1642           13719             527               6              86             153
   Brain12                 3428           16155            1019              91             539             330
   Brain13                  699            8560              78               4              10              10
   Brain14                 2056           15286             843               7             202             161
   Brain15                 1896           14831             583              32             114             105
   Brain16                 1910           11132             858              42             325             330
    Brain1                 2989           16551            1285              73             526             670
    Brain3                  623           12412              57               1              10              27
    Brain4                 2136           18755             715              37             110             112
    Brain5                 2597           18184             822               9             245             264
    Brain7                 3840           16962            1120              14             456             186
    Brain9                  968            7940             173              36             373             685
